locus_prefix	fold	work_key	display	era	date_range	via	tier	reason	flags	notes	n_rows
MAHĀBHĀRATA 3, 16836 → vulg	mahabharata 3 16836 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 5,4482 → vulg	mahabharata 82 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 13,4144 → vulg	mahabharata 13 1 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 14,2757 → vulg	mahabharata 1 277 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
		sarvadarsanasamgraha	Sarvadarśanasaṃgraha	late-medieval	c. 14th c.	hand:class	hand	Mādhava-Vidyāraṇya's doxography, c. 14th c. (standard dating)		binds the abbrev: PWG loci for it are unresolved (? [Cologne Addition])	0
		sarvadarsanasamgraha	Sarvadarśanasaṃgraha	late-medieval	c. 14th c.	hand:class	hand	Mādhava-Vidyāraṇya's doxography, c. 14th c. (standard dating)		binds the abbrev: PWG loci for it are unresolved (? [Cologne Addition])	0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
MAHĀBHĀRATA 3,16131 → vulg	mahabharata 3 16131 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 14,1940 → vulg	mahabharata 1 190 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
MAHĀBHĀRATA 3,1298 → vulg	mahabharata 3 1298 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 12,9667 → vulg	mahabharata 12 9667 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 13,6694 → vulg	mahabharata 13 669 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
		uttararamacarita	Uttararāmacarita	classical	early 8th c. CE	hand:class	hand	Bhavabhūti, early 8th c. (standard author dating; same anchor class as the probe's Kālidāsa play calls)		net-new; seed had this abbrev on unresolved loci	0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
COLEBROOKE'S Miscellaneous Essays. 2 Bän 163 (XVIII)	colebrooke s miscellaneous essays 2 ban 163 xviii	colebrooke-essays	Colebrooke's Miscellaneous Essays			modern-ref	hand	Colebrooke's collected essays — modern scholarship apparatus, not a work stratum			0
MAHĀBHĀRATA 1, 7021 → vulg	mahabharata 1 7021 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 13,313 → vulg	mahabharata 13 313 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
MAHĀBHĀRATA 1,6004 → vulg	mahabharata 1 600 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 7,8280 → vulg	mahabharata 7 8280 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 3,3055 → vulg	mahabharata 3 30 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 7,8224 → vulg	mahabharata 7 822 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
MAHĀBHĀRATA 13,6958 → vulg	mahabharata 13 698 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
MAHĀBHĀRATA 5,1786 → vulg	mahabharata 1786 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 1,1859 → vulg	mahabharata 1 189 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 13,3760 → vulg	mahabharata 13 3760 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 5,3670 → vulg	mahabharata 3670 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 7,2607 → vulg	mahabharata 7 2607 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
MAHĀBHĀRATA 13,3708 → vulg	mahabharata 13 3708 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
		sarvadarsanasamgraha	Sarvadarśanasaṃgraha	late-medieval	c. 14th c.	hand:class	hand	Mādhava-Vidyāraṇya's doxography, c. 14th c. (standard dating)		binds the abbrev: PWG loci for it are unresolved (? [Cologne Addition])	0
7, 18 (Comm.).	7 18 comm					no-match	no-match	no curated identity matches this resolved locus			0
MAHĀBHĀRATA 1,2696 → vulg	mahabharata 1 2696 vulg	mahabharata	Mahābhārata	epic-sutra	c. 4th c. BCE - 4th c. CE (composite)	dharmamitra	canon_dm	DM family mode 14/18 parvan chunks Epic & Sutra; composite c. 4th c. BCE - 4th c. CE; corroborates the seed's DCS call		DM chunk strata vary: mode epic-sutra (14/18 chunks), minority {'classical': 4} — recorded, not averaged; DM parvan strata vary (Śānti-/Anuśāsana-/Mahāprasthānika-/Svargāroha- labelled Classical, later didactic strata) — recorded, not averaged; work-level bucket follows the composite	0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
						unresolved	unresolved	PWG locus resolution failed (? [Cologne Addition]); no unambiguous abbreviation binding			0
